id_usuario,volveria
650,0
234,0
31,0
552,0
411,0
134,1
497,1
434,0
528,1
112,0
276,1
446,1
138,1
233,0
457,0
584,1
466,0
773,0
849,0
190,0
349,0
58,0
695,0
817,0
213,0
48,0
600,0
166,1
758,0
654,0
306,1
335,1
80,1
836,1
857,1
776,0
556,0
637,0
100,0
238,1
666,1
32,1
340,0
435,0
160,0
485,1
149,0
215,0
341,1
433,1
851,0
558,1
395,1
833,0
255,1
787,0
554,0
727,0
163,0
430,0
40,0
307,1
837,0
450,0
625,0
738,1
754,0
691,1
42,1
249,1
179,0
862,0
186,0
159,0
14,0
579,0
566,0
74,0
509,0
337,1
228,0
182,0
728,0
246,1
454,1
354,0
82,0
172,0
8,0
640,0
